parameter;process;inputs;outputs
default;hea_cts_combustion_cc_biodiesel_1;biodiesel;CTS_space_heat_exo,elec_ren
default;hea_cts_combustion_cc_gas_1;biogas,natgas,SNG_ren,SNG_conv;CTS_space_heat_exo,elec_ren,elec_conv
default;hea_cts_combustion_fuelcell_mcfc_gas_1;biogas,natgas,SNG_ren,SNG_conv;CTS_space_heat_exo,elec_ren,elec_conv
default;hea_cts_combustion_fuelcell_pemfc_hydrogen_1;hydrogen_ren,hydrogen_conv;CTS_space_heat_exo,elec_ren,elec_conv
default;hea_cts_combustion_fuelcell_sofc_gas_1;biogas,natgas,SNG_ren,SNG_conv;CTS_space_heat_exo,elec_ren,elec_conv
default;hea_cts_combustion_fuelcell_sofc_hydrogen_1;hydrogen_ren,hydrogen_conv;CTS_space_heat_exo,elec_ren,elec_conv
default;hea_cts_cooling_aircon_room_1;elec_ren,elec_conv;CTS_space_cooling_exo
default;hea_cts_cooling_centralized_1;elec_ren,elec_conv;CTS_space_cooling_exo
default;hea_cts_cooling_fan_0;elec_ren,elec_conv;CTS_space_cooling_exo
default;hea_cts_cooling_fan_1;elec_ren,elec_conv;CTS_space_cooling_exo
default;hea_cts_cooling_hp_abs_gas_1;biogas,natgas,SNG_ren,SNG_conv;CTS_space_cooling_exo
default;hea_cts_cooling_hp_abs_hth_1;district_heat_HTH;CTS_space_cooling_exo
default;hea_cts_cooling_hp_abs_hydrogen_1;hydrogen_ren,hydrogen_conv;CTS_space_cooling_exo
default;hea_cts_cooling_hp_abs_lth_1;district_heat_LTH;CTS_space_cooling_exo
default;hea_cts_cooling_hp_abs_solar_1;solar_radiation,elec_ren,elec_conv;CTS_space_cooling_exo
default;hea_cts_cooling_hp_ads_gas_1;biogas,natgas,SNG_ren,SNG_conv;CTS_space_cooling_exo
default;hea_cts_heat_exchanger_hth_0;district_heat_HTH;CTS_space_heat_exo
default;hea_cts_heat_exchanger_hth_1;district_heat_HT;CTS_space_heat_exo,CTS_hot_water_exo
default;hea_cts_heat_exchanger_lth_0;district_heat_LTH;CTS_space_heat_exo
default;hea_cts_heat_exchanger_lth_1;district_heat_LT;CTS_space_heat_exo,CTS_hot_water_exo
default;hea_cts_heater_boil_biomass_0;biomass;CTS_space_heat_exo,CTS_cooling_exo
default;hea_cts_heater_boil_biomass_1;biomass;CTS_space_heat_exo
default;hea_cts_heater_boil_cd_biodiesel_1;biodiesel;CTS_space_heat_exo
default;hea_cts_heater_boil_cd_gas_0;natgas;CTS_space_heat_exo,CTS_hot_water_exo
default;hea_cts_heater_boil_cd_gas_1;biogas,natgas,SNG_ren,SNG_conv;CTS_space_heat_exo
default;hea_cts_heater_boil_cd_hydrogen_1;hydrogen_ren,hydrogen_conv;CTS_space_heat_exo,CTS_hot_water_exo
;hea_cts_heater_boil_cd_hydrogen_1;hydrogen;exo_CTS_space_heat
;hea_cts_heater_boil_cd_hydrogen_1;hydrogen;exo_CTS_hot_water
default;hea_cts_heater_boil_cd_oil_0;heating_oil;CTS_space_heat_exo,CTS_hot_water_exo
default;hea_cts_heater_boil_et_dual_0;elec_ren,elec_conv;CTS_space_heat_exo,CTS_hot_water_exo
default;hea_cts_heater_boil_hydrogen_1;hydrogen_ren,hydrogen_conv;CTS_space_heat_exo,CTS_hot_water_exo
default;hea_cts_heater_hp_ads_dual_gas_1;biogas,natgas,SNG_ren,SNG_conv,env_heat;CTS_space_heat_exo,CTS_hot_water_exo
default;hea_cts_heater_hp_ads_dual_hydrogen_1;hydrogen_ren,hydrogen_conv,env_heat ;CTS_space_heat_exo,CTS_hot_water_exo
default;hea_cts_heater_hp_ads_gas_0;natgas,env_heat;CTS_space_heat_exo,CTS_space_cooling_exo
default;hea_cts_heater_hp_ads_hydrogen_1;hydrogen_ren,hydrogen_conv,env_heat ;CTS_space_heat_exo,CTS_space_cooling_exo
default;hea_cts_heater_hp_adsgas_1;biogas,natgas,SNG_ren,SNG_conv,env_heat;CTS_space_heat_exo,CTS_space_cooling_exo
default;hea_cts_heater_hp_air_0;elec_ren,elec_conv,env_heat;CTS_space_heat_exo,CTS_cooling_exo
default;hea_cts_heater_hp_air_1;elec_ren,elec_conv,env_heat;CTS_space_heat_exo,CTS_space_cooling_exo
default;hea_cts_heater_hp_air_dual_1;elec_ren,elec_conv,env_heat;CTS_space_heat_exo,CTS_hot_water_exo
default;hea_cts_heater_hp_gro_0;elec_ren,elec_conv,geothermal_heat;CTS_space_heat_exo,CTS_cooling_exo
default;hea_cts_heater_hp_gro_1;elec_ren,elec_conv,geothermal_heat;CTS_space_heat_exo,CTS_space_cooling_exo
default;hea_cts_heater_hp_gro_dual_1;elec_ren,elec_conv,geothermal_heat;CTS_space_heat_exo,CTS_hot_water_exo
default;hea_cts_heater_soco_1,hea_cts_heater_boil_cd_gas_1;solar_radiation,biogas,natgas,SNG_ren,SNG_conv;CTS_space_heat_exo,CTS_hot_water_exo
default;hea_cts_heater_soco_1,hea_cts_heater_boil_et_1;solar_radiation,elec_ren,elec_conv;CTS_space_heat_exo,CTS_hot_water_exo
default;hea_cts_heater_stov_gas_0;natgas;CTS_space_heat_exo
default;hea_cts_refrigerator_abs;heat;CTS_proc_cooling
default;hea_cts_refrigerator_ads;heat;CTS_proc_cooling
default;hea_cts_refrigerator_compr;elec_ren,elec_conv,env_heat;CTS_proc_cooling
default;hea_cts_water_heating_boil_et_1;elec_ren,elec_conv;CTS_hot_water_exo
default;hea_cts_water_heating_soco_1,hea_cts_water_heating_boil_et_1;solar_radiation,elec_ren,elec_conv;CTS_hot_water_exo
default;hea_cts_water_heating_soco_1,hea_cts_waterheating_boil_cd_gas_1;solar_radiation,biogas,natgas,SNG_ren,SNG_conv;CTS_hot_water_exo
default;hea_distribution_district_heating_hth_0;district_heat_dis;district_heat_HTH
default;hea_distribution_district_heating_hth_1;district_heat_dis;district_heat_HTH
default;hea_distribution_district_heating_lth_0;district_heat_dis;district_heat_LTH
default;hea_distribution_district_heating_lth_1;district_heat_dis;district_heat_LTH
default;hea_hh_cooling_absorption_heatpump_cooling_gas_1;biogas,natgas,SNG_ren,SNG_conv;HH_space_cooling_exo
default;hea_hh_cooling_centralized_air_con_0;elec_ren,elec_conv;HH_space_cooling_exo
default;hea_hh_cooling_centralized_air_con_1;elec_ren,elec_conv;HH_space_cooling_exo
default;hea_hh_cooling_hp_ads_gas_0;biogas,natgas,SNG_ren,SNG_conv;HH_space_cooling_exo
default;hea_hh_cooling_portable_air_con_0;elec_ren,elec_conv;HH_space_cooling_exo
default;hea_hh_cooling_room_air_con_1;elec_ren,elec_conv;HH_space_cooling_exo
default;hea_hh_cooling_splits_0;elec_ren,elec_conv;HH_space_cooling_exo
default;hea_hh_heat_exchanger_hth_0;district_heat_HTH;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heat_exchanger_hth_1;district_heat_HTH;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heat_exchanger_lth_0;district_heat_LTH;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heat_exchanger_lth_1;district_heat_LTH;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_boil_cd_biodiesel_1;biodiesel;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_boil_cd_gas_0;natgas;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_boil_cd_gas_1;biogas,natgas,SNG_ren,SNG_conv;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_boil_cd_hydrogen_1;hydrogen_ren,hydrogen_conv;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_boil_dual_biomass_0;biomass;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_boil_dual_biomass_1;biomass;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_boil_dual_gas_0;natgas;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_boil_dual_oil_0;heating_oil;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_boil_et_dual_0;elec_ren,elec_conv;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_boil_et_mono_0;elec_ren,elec_conv;HH_space_heat_exo
default;hea_hh_heater_boil_mono_gas_0;natgas;HH_space_heat_exo
default;hea_hh_heater_boil_mono_oil_0;heating_oil;HH_space_heat_exo
default;hea_hh_heater_et_boil_mono_1;elec_ren,elec_conv;HH_space_heat_exo
default;hea_hh_heater_hp_air_1;elec_ren,elec_conv,env_heat;HH_space_heat_exo,HH_space_cooling_exo
default;hea_hh_heater_hp_air_dual_0;elec_ren,elec_conv,env_heat;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_hp_dual_air_1;elec_ren,elec_conv,env_heat;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_hp_dual_gas_1;biogas,natgas,SNG_ren,SNG_conv ,env_heat;HH_space_heat_exo,HH_hot_water_exo
default;hea_hh_heater_hp_gas_0;natgas;HH_space_heat_exo,HH_space_cooling_exo
default;hea_hh_heater_hp_gas_1;biogas,natgas,SNG_ren,SNG_conv ,env_heat;HH_space_heat_exo,HH_space_cooling_exo
